PeriodoId	CodigoEntidad	Entidad	TipoEntidad	C1401	C1403	C1404	C1405	C1406	C1408	C1409	C14090202	C14090302	C14090402	C14090702	C14090902	C14091002	C14091102	C14091202	C14091302	C14090201	C14090301	C14090701	C14090901	C14091001	C14091101	C14091201	C14091301	C290101	C290102	C29010207	C29010702	C29010801	C14090401	Periodo
20190131	01105	ABACO	Cooperativa de Ahorro y Crédito - Nivel 3	1215854344.98		6432786.79	18802759.68	27613437.43	28689732.15	-65737474.23	-57996.67	-396136.94	-191203.11					-9208777.46	-1701352.25	-152449.22	-1683477.39					-46831498.53	-5248382.4		393898.36			214520.53	-266200.26	20190131
20190131	01106	SAN FRANCISCO 289	Cooperativa de Ahorro y Crédito - Nivel 3	140524540.83			10015467.18	548341.58	3171166.41	-7365935.09	-109080.85	-470625.76	-352870.63					-194055.48	-59155.04	-1192081.47	-1190554.62						-326728.75						-3470782.49	20190131
20190131	01109	PETROPERU LTDA	Cooperativa de Ahorro y Crédito - Nivel 2 B	119374083.96			1429261.7	570134.66	360625.65	-3674052.35	0	-998282	-99547.24								-2349252.67												-226970.44	20190131
20190131	01110	LA REHABILITADORA 24	Cooperativa de Ahorro y Crédito - Nivel 2 B	129238212		1117067.33	7135027.21	1942545.07	1467387.27	-12615301.94	-20066.7	-780020.43	-6244.66					-174806.01	-279115.59	-1061060.16	-5116255.41					-111044.48	-5058631.43	371495.09	0				-8057.07	20190131
20190131	01112	CRISTOBAL DE HUAMANG	Cooperativa de Ahorro y Crédito - Nivel 3	258471314.84		983907.05	5340229.58	14496572.1	2573728.45	-21403159.11	-283341.99	-1059039.45	-236981.22						-971776.05	-3707572.99	-4605102.37					-21032.65	-9905091.62	92557.36					-613220.77	20190131
20190131	01113	STA MA MAGDALENA	Cooperativa de Ahorro y Crédito - Nivel 3	273397621.96		5523173.42	8719765.52	29692212.88	44713283.53	-66374121.12	-493416.4	-556782.71	-10805.21					-238694.29	-796942.06	-14571611.78	-4137991.25					-35303715.18	-10208701.08	639591.11					-55461.16	20190131
20190131	01116	PACÍFICO	Cooperativa de Ahorro y Crédito - Nivel 3	2171053149.98		12160199.27	53875697.7	8059913.7	50907165.48	-96624061.36	-554359.97	-1331311.32	-191902.8		-54997.51	-47505.92	-519880.62	-19316757.31	-4836081.33	-524908.25	-2837914.37					-61691930.37	-3585802.74						-1130708.85	20190131
20190131	01118	SN CRISTO DE BAGAZÁN	Cooperativa de Ahorro y Crédito - Nivel 3	258648328.3		12365502.05	22386797.19	10059297.41	4875938.37	-41865694.7	-445374.35	-896658.48	-3303.28		0			-269311.58	-867166.59	-10758672.65	-7372377.6					-2714386.2	-18538443.97	256737.2					0	20190131
20190131	01120	STO DOMINGO GUZMAN	Cooperativa de Ahorro y Crédito - Nivel 2 B	192010735.03		3461955.53	5482897.95	23226992.87	2798838.98	-31618035.81	-115658.15	-1466186.55	-35337.96					-39281.1	-253494.88	-5187862.04	-10288850.72					-7002.16	-9622591.49	373515.05					-4601770.76	20190131
20190131	01138	AELU	Cooperativa de Ahorro y Crédito - Nivel 3	1211716572.19			14765726.43	8356032.12	77066802.38	-41376658.14	-881.31	-909947.21	-287298.54					-10195710.1	-98600.93	-196778.57	-3609102.69					-23556165.94	-1040269.7						-1481903.15	20190131
20190131	01140	NTRA SRA DEL ROSARIO	Cooperativa de Ahorro y Crédito - Nivel 2 A	96229569		259081	6699085	1316421	6021210.8	-4370785	-220383	-306086	-141810						-201711	-1438895	-611732						-510079		23474.97				-940089	20190131
20190131	01150	CUAJONE LTDA	Cooperativa de Ahorro y Crédito - Nivel 2 B	110555438.53			1958469.91	2522799.85	3482114.5	-3640698.62	-100	-1013376.9	-44925.35			0	0	-9096.84	-10547.21	-6447.98	-2045945.24				-34623.09	-12475.83	-52682.4		7537.33				-410477.78	20190131
20190131	01172	SAN MARTÍN DE PORRES	Cooperativa de Ahorro y Crédito - Nivel 3	251133237.33		5074262.75	10921629.17	890758.09	2788618.71	-18899156.47	-1620540.37	-3011676.35	-209440.46					-556192.3	-1298847.49	-1475647.73	-3997508.33					-873567.75	-5710906.31	1283682.6					-144829.38	20190131
20190131	01183	SAN ISIDRO	Cooperativa de Ahorro y Crédito - Nivel 2 B	173975619.87		5323941.85	33152246.49	13697.97	1592437.63	-85368564.43	-720328.89	-7882258.29	-2779831.5					-29393247.89	-6028223.71	-61022.01	-1925220.66					-32043275.6	-3983234.6	688659.2					-551921.28	20190131
20190131	01193	ILO LTDA. N° 50	Cooperativa de Ahorro y Crédito - Nivel 2 B	124591002.67		1184612.82	2293533.11	1267089.18	2998552.16	-6646180.97		-2185900.98	-161619.88						-3270.13		-3996759.09							10213.12					-298630.89	20190131
20190131	01202	LEON XIII N° 520	Cooperativa de Ahorro y Crédito - Nivel 2 B	114459798.74		787637.06	2619430.86	4338974.11	931430.15	-8565512.61	-215401.24	-591739.62	-6896.88					-1923.05	-262219.15	-2831425.95	-2311526.98					-17558.3	-2292377.16	0.03			1536.64		-34444.28	20190131
20190131	01216	STA CATALINA DE MOQ	Cooperativa de Ahorro y Crédito - Nivel 2 B	106813219.07		383834.86	4392767.61	0	817892.95	-4562354.59	-47502.05	-935317.94	-27056.92					-16319.67	-20046.61	-961493.51	-1419469.8					-236473.11	-886379.95	26874.13					-12295.03	20190131
20190131	01220	CREDICOOP AREQUIPA	Cooperativa de Ahorro y Crédito - Nivel 2 B	45903593.46			5777785.16		2184001.04	-70696.14	-2336.91	-3791.9								-9040.06	-55527.27													20190131
20190131	01304	QUILLABAMBA-QUILLAC	Cooperativa de Ahorro y Crédito - Nivel 3	190410286.93		8571546.78	28296513.99	36600833.51	5689035.32	-58379459.19	-190127.41	-328523.8	-244345.1					-301656.49	-604952.39	-6225428.66	-7887808.85					-7491070.67	-27107261.34	55494.23					-7998284.48	20190131
20190131	01327	EFIDE	Cooperativa de Ahorro y Crédito - Nivel 3	248638020.05			7925304.71		2084585.24	-10028603.56	-5948.53	-24872.08				-21615.26	-32486.26	-2083619.57	-133449.46	-51808.02	-464020.92					-6192988.14	-1017795.32		1259880.52					20190131
20190131	01328	COOPAC TOQUEPALA	Cooperativa de Ahorro y Crédito - Nivel 2 B	124190645.86		597112.94	2491617.4	94276.82	7049994.51	-5990337.26		-1774896.01	-69626.85								-4023787.37								33989.92				-122027.03	20190131
20190131	01342	LOS ANDES COTARUSI	Cooperativa de Ahorro y Crédito - Nivel 2 B	162516136.5		5216104.6	4269325.28	958460.68	4427443.16	-6993459.02	-648814.24	-441118.94	-144739.2					-54579.17	-201085.81	-2980270.26	-1491923.91					-917.36	-598559.32						-431450.81	20190131
20190228	01105	ABACO	Cooperativa de Ahorro y Crédito - Nivel 3	1193048939.1		5298036.28	19196481.9	27432773.58	28752953.07	-65160772.79	-63678.24	-390448.88	-182094.26					-8956109.22	-1710857.59	-163500.12	-1819259.31					-46422198.9	-5180122.05		393035.11			212525.89	-272504.22	20190228
20190228	01106	SAN FRANCISCO 289	Cooperativa de Ahorro y Crédito - Nivel 3	134006365.09			17757081.31	543231.61	3239703.21	-7731224.85	-111307.27	-481360.49	-352668.2					-114346.79	-56827.6	-1278401.01	-1096936.22					-404325.98	-356884.44						-3478166.85	20190228
20190228	01109	PETROPERU LTDA	Cooperativa de Ahorro y Crédito - Nivel 2 B	120888762.21			1343539.63	567777.29	377236.4	-3466923.78	-0.01	-991178.29	-97188.63								-2168226.9												-210329.95	20190228
20190228	01110	LA REHABILITADORA 24	Cooperativa de Ahorro y Crédito - Nivel 2 B	129238883.38		1186933.07	8282804.05	1937068.44	1699113.85	-12857252.33	-19460.16	-734150.04	-5170.92					-188406.2	-266809.47	-1082599.53	-5070119.06					-118765.61	-5360998.36	371495.09					-10772.98	20190228
20190228	01112	CRISTOBAL DE HUAMANG	Cooperativa de Ahorro y Crédito - Nivel 3	259116328.19		978151.97	5929264.24	14690575.81	2364491.46	-21959874.76	-281009.73	-1080116.3	-234706.35						-963839.93	-3817014.59	-4733403.73					-21032.65	-10216724.79	85598.14					-612026.69	20190228
20190228	01113	STA MA MAGDALENA	Cooperativa de Ahorro y Crédito - Nivel 3	271505402.05		5513343.47	9724602.63	29109660.21	45214854.05	-63386346.06	-453415.68	-567655.48	-10793.15					-219816.41	-774673.34	-12926161.81	-4006857.17					-35318013.49	-9054347.68	627771.19					-54611.85	20190228
20190228	01116	PACÍFICO	Cooperativa de Ahorro y Crédito - Nivel 3	2149317489.26		12015030.91	67735725.76	7989244.18	53575205.47	-97939610.23	-535109.17	-1453132.2	-192499.22		-51397.34	-46545.97	-463856.02	-18605835.16	-4832586.18	-940760.38	-3093835.42					-62231423.29	-4357350.8						-1135279.08	20190228
20190228	01118	SN CRISTO DE BAGAZÁN	Cooperativa de Ahorro y Crédito - Nivel 3	260755083.73		12157302.89	23121168.71	10051469.43	5064155.64	-42520694.75	-451632.3	-920233.25	-3280.11					-266977.63	-867573	-10871666.87	-7563919.27					-3010475.6	-18564936.72	256431.32						20190228
20190228	01120	STO DOMINGO GUZMAN	Cooperativa de Ahorro y Crédito - Nivel 2 B	193983690.82		3528688.99	5589079.57	23132962.28	2670316.46	-31744863.82	-111841.42	-1469599.57	-31444.25					-38005.53	-250891.63	-5282310.27	-10228944.53					-92354.97	-9712949.7	368309.03					-4526521.95	20190228
20190228	01138	AELU	Cooperativa de Ahorro y Crédito - Nivel 3	1190407478.02			22900145.23	8292345.28	79821120.42	-44375057	-1095.04	-898855.33	-281813.92					-9996854.36	-98770.77	-194049.54	-3761434.86					-26496594.44	-1073938.59						-1571650.15	20190228
20190228	01140	NTRA SRA DEL ROSARIO	Cooperativa de Ahorro y Crédito - Nivel 2 A	96228362		202964	7249982	1228228.97	6197131.42	-4859743	-219750.67	-313011	-140545						-201793	-1689855	-687078						-575167.33		20346.8				-1032543	20190228
20190228	01150	CUAJONE LTDA	Cooperativa de Ahorro y Crédito - Nivel 2 B	111898963.56			248909.93	2513125.51	3890304.05	-3671792.52	-343.47	-1009343.39	-48869.39					-7247.67	-7960.2	0	-2133541.01				0	-4451.88	-52203.71		6055.72				-407831.8	20190228
20190228	01172	SAN MARTÍN DE PORRES	Cooperativa de Ahorro y Crédito - Nivel 3	255210250.51		5498379.45	11043917.14	873359.23	2595049.17	-19335509.37	-1620005.45	-3034627.11	-213128.32					-559826.82	-1304030.03	-1522447.07	-4117287.98					-834462.41	-5979413.34	1313018.29					-150280.84	20190228
20190228	01183	SAN ISIDRO	Cooperativa de Ahorro y Crédito - Nivel 2 B	166433212.31		4923941.65	39215969.19	13697.97	1563040.72	-85888188.59	-768058.85	-7827178.67	-2750209.21					-26096241.9	-6232925.87	-68498.14	-2002990.16					-35827263.52	-3767357.75	686856.64					-547464.52	20190228
20190228	01193	ILO LTDA. N° 50	Cooperativa de Ahorro y Crédito - Nivel 2 B	125730198.26		1163484.26	2085986.92	1291459.78	3375761.14	-6625837.15		-2179479.08	-164262.54						-3259.19		-3959421.63							6729.48					-319414.71	20190228
20190228	01202	LEON XIII N° 520	Cooperativa de Ahorro y Crédito - Nivel 2 B	114316870.08		745204.32	3082683.12	4408764.85	835574.04	-8848397.72	-213300.8	-591093.85	-7498.39					-2674.62	-263409.56	-2971766.71	-2355245.37					-16583.23	-2222649.73	0.03			-20906.16		-33223.83	20190228
20190228	01216	STA CATALINA DE MOQ	Cooperativa de Ahorro y Crédito - Nivel 2 B	106727130.09		396868.76	4479726.11	0	817341.57	-4561713.45	-49263.92	-934277.59	-26468.28					-16240.04	-19962.1	-989734.78	-1366613.43					-236473.11	-909648.02	23401.82					-13032.18	20190228
20190228	01220	CREDICOOP AREQUIPA	Cooperativa de Ahorro y Crédito - Nivel 2 B	53938919.27					1853138.65	-157590.83	-4792.79	-7650.18	-347.92							-20371.58	-119433.74												-4994.62	20190228
20190228	01304	QUILLABAMBA-QUILLAC	Cooperativa de Ahorro y Crédito - Nivel 3	190731129.18		8199549.86	25654329.31	39941188.44	5700622.18	-57836639.15	-192012.43	-335434.63	-248989.51					-319651.84	-609055.51	-6275819.55	-7821974.08					-7442426.12	-26970262.89	52699.32					-7621012.59	20190228
20190228	01327	EFIDE	Cooperativa de Ahorro y Crédito - Nivel 3	242151795.45			8176335.93		2034757.31	-10575702.29	-11324.26	-26800.42				-20837.14	-31113.7	-2005337.2	-166561.83	-53222.32	-454210.89				-710031.15	-5980527.87	-1115735.51		1509063.8					20190228
20190228	01328	COOPAC TOQUEPALA	Cooperativa de Ahorro y Crédito - Nivel 2 B	124287804.25		591541.85	2488026.86	93810.53	7775724.97	-5974317.64		-1744321.78	-61958.02								-4068566.51								27415.14				-99471.33	20190228
20190228	01342	LOS ANDES COTARUSI	Cooperativa de Ahorro y Crédito - Nivel 2 B	164355300.97		5492333.02	5154260.68	943434.93	4467405.7	-7466130.9	-671852.63	-449850.36	-143647.03					-49745.2	-208728.55	-3244536.38	-1616201.39					-15311.16	-618213.43						-448044.77	20190228
20190331	01101	SEÑOR DE QUINUAPATA	Cooperativa de Ahorro y Crédito - Nivel 2 A	12997322.7		5209.02	1125069.4	1111944.84	177301.29	-1737261.43	-45675.3	-30505.77	-5290.72						-34178.66	-932076.98	-328653.53						-101638.69						-259241.78	20190331
20190331	01103	MI SOL DIARIO LTDA	Cooperativa de Ahorro y Crédito - Nivel 1	1199622.19			16934.09	40692.16	30874.38	-79801.19		-23609.56									-56191.63													20190331
20190331	01104	LA PROGRESIVA LTDA.	Cooperativa de Ahorro y Crédito - Nivel 2 A	10588074.67		180981.45	548510.81	114799.71	373733.63	-713890.26	-36018.75	-21497.79						-9108.69	-36562.68	-274627.25	-153540.55						-182534.55	33320.38						20190331
20190331	01105	ABACO	Cooperativa de Ahorro y Crédito - Nivel 3	1177464390.26		5246528.85	22529602.5	27579957.2	31344248.11	-65993603.87	-71488.47	-405405.7	-178707.96					-8749622.01	-1611984.78	-235719.74	-1811816.28					-44933337.01	-7614536.15		362727.65			213555.38	-380985.77	20190331
20190331	01106	SAN FRANCISCO 289	Cooperativa de Ahorro y Crédito - Nivel 3	140293104.8			10234763.27	540923.71	3322180.94	-7461075.16	-103860.7	-484061.2	-328045.98					-193484.87	-56887.68	-1435163.92	-1183268.48					0	-341070.95						-3335231.38	20190331
20190331	01107	SERFINCO LIMITADA	Cooperativa de Ahorro y Crédito - Nivel 2 A	14630560.94		4734.7	964816.38		325720.08	-874719.06	-826.71	-49785.98	-13382.22						-71114.86		-611223.08						-118383.95		0				-10002.26	20190331
20190331	01108	SAN JUAN BAUTISTA	Cooperativa de Ahorro y Crédito - Nivel 2 A	30184245.72		169049.03	1195378.69	18588.23	330483.21	-1741748.29	-21622.2	-113939.66	-196786.48						-38706.93	-42783.82	-102536.38						-1053049.57	60283.04					-172323.25	20190331
20190331	01109	PETROPERU LTDA	Cooperativa de Ahorro y Crédito - Nivel 2 B	122153107.07			1131465.08	569319.29	214130.21	-3756119.18	0	-1045828.06	-92442.51								-2444068.1												-173780.51	20190331
20190331	01110	LA REHABILITADORA 24	Cooperativa de Ahorro y Crédito - Nivel 2 B	129642411.41		1289060.6	11156455.93	1936874.46	1348065.97	-14357787.94	-17499.92	-723355.48	-4579.67					-173620.28	-291920.67	-1160862.52	-6029895.55					-206558.39	-5733353.93	371495.09					-16141.53	20190331
20190331	01111	SAN LORENZO TRUJILLO	Cooperativa de Ahorro y Crédito - Nivel 2 A	29674366.62		296706.12	7272615.22	2689424.01	21827426.61	-9139267.31	-129416.09	-98867.33						-19568.48	-11032.07	-4758104.82	-2832852.13					-1130191.86	-159234.53							20190331
20190331	01112	CRISTOBAL DE HUAMANG	Cooperativa de Ahorro y Crédito - Nivel 3	262475157.46		936309.5	5680712.15	14459806.75	2675861.82	-22051022.14	-280689.87	-1108362.55	-232763.45						-961103.08	-3921332.73	-4889605.84					-21032.65	-10029750.37	85570.91					-606381.6	20190331
20190331	01113	STA MA MAGDALENA	Cooperativa de Ahorro y Crédito - Nivel 3	273111846.88		5574633.34	9968544.3	29030204.86	47377478.92	-66637341.54	-540071.89	-575968.73	-8398.39					-162125.29	-766976.95	-14256039.58	-4086035.55					-35737649.43	-10434663.17	625648.74					-69412.56	20190331
