NRO	CAMPO	DESCRIPCION	TIPO	BD
1	CIS	Código interno del socio deudor	Alfanumérico	BD01
2	TID	Tipo de documento	Numérico	BD01
3	NID	N° de documento	Numérico	BD01
4	NSO	Nombre del socio	Alfanumérico	BD01
5	CCR	Código del crédito	Alfanumérico	BD01
6	MON	Tipo de moneda	Numérico	BD01
7	MORG	Monto original del crédito otorgado	Numérico	BD01
8	SKCR	Saldo de colocaciones	Numérico	BD01
9	TCR	Tipo de crédito	Numérico	BD01
10	CAL	Clasificación del deudor	Numérico	BD01
11	DAK	Días de atraso al cierre de mes	Numérico	BD01
12	DAKR	Días de atraso reales al cierre de la última cuota pagada	Numérico	BD01
13	PCI	Provisión constituida	Numérico	BD01
14	KVI	Saldo de capital vigente de la operación	Numérico	BD01
15	CCVI	Cuenta contable de registro del saldo de capital vigente de la operación	Alfanumérico	BD01
16	KRF	Saldo de capital refinanciado de la operación	Numérico	BD01
17	CCRF	Cuenta contable de registro del saldo de capital refinanciado de la operación	Alfanumérico	BD01
18	KVE	Saldo de capital vencido de la operación	Numérico	BD01
19	CCVE	Cuenta contable de registro del saldo de capital vencido de la operación	Alfanumérico	BD01
20	KJU	Saldo de capital en cobranza judicial de la operación	Numérico	BD01
21	CCJU	Cuenta contable de registro del saldo en cobranza judicial de la operación	Alfanumérico	BD01
22	SIN	Rendimientos devengados de la operación	Numérico	BD01
23	CCSIN	Cuenta contable de registro de los rendimientos devengados de la operación	Alfanumérico	BD01
24	SID	Ingresos diferidos acumulados de la operación	Numérico	BD01
25	CCSID	Cuenta contable de registro de los intereses diferidos de la operación	Alfanumérico	BD01
26	SIS	Intereses en suspenso acumulados de la operación	Numérico	BD01
27	CCSIS	Cuenta contable de registro de los Intereses en suspenso de la operación	Alfanumérico	BD01
28	FOT	Fecha de desembolso	Fecha	BD01
29	ESAM	Esquema de amortización	Numérico	BD01
30	DGR	Número de días de gracia	Numérico	BD01
31	FPPK	Fecha de primer pago de capital según cronograma original	Fecha	BD01
32	FVEG	Fecha de vencimiento general de la operación según cronograma original	Fecha	BD01
33	NCPR	Número de cuotas programadas según cronograma original	Numérico	BD01
34	TEA	Tasa efectiva anual	Numérico	BD01
35	PCUO	Periodicidad de cuotas	Numérico	BD01
36	FVEP	Fecha de vencimiento puntual de la operación	Fecha	BD01
37	NCPA	Número de cuotas pagadas	Numérico	BD01
38	SEC	Sector del crédito a financiar	Alfanumérico	BD01
39	TPR	Producto crediticio	Alfanumérico	BD01
40	CAGE	Código de Agencia	Alfanumérico	BD01
41	UAGE	Ubigeo	Numérico	BD01
42	UDES	Usuario que realizó la operación de desembolso en el sistema informático.	Alfanumérico	BD01
43	FOT_H	Hora del desembolso	Alfanumérico	BD01
44	MDCR	Modalidad del crédito	Numérico	BD01
45	FUK	Fecha del último pago realizado al capital	Fecha	BD01
46	FUINT	Fecha del último pago realizado a intereses	Fecha	BD01
47	TPINT	Total de pagos acumulados por concepto de intereses	Numérico	BD01
48	NRPRG	Número de cambios contractuales en el cronograma distintos a una refinanciación	Numérico	BD01
49	CCSD	Código CIIU del socio deudor	Alfanumérico	BD01
50	OSD	Ocupación del socio deudor declarado en el momento de entablar relación con la COOPAC	Alfanumérico	BD01
1	CIS	Código interno del socio deudor	Alfanumérico	BD02A
2	CCR	Número o código de la operación	Alfanumérico	BD02A
3	NCUO	Número de cuota	Numérico	BD02A
4	MON	Moneda	Numérico	BD02A
5	MCUO	Monto de capital de la cuota	Numérico	BD02A
6	SIC	Monto de intereses compensatorios de la cuota	Numérico	BD02A
7	SCOM	Comisiones, portes y otros cobros de la cuota	Numérico	BD02A
8	SEGS	Monto de seguro (desgravamen y todo riesgo)	Numérico	BD02A
9	SIM	Monto de intereses moratorios de la cuota	Numérico	BD02A
10	TCUO	Monto total de la cuota	Numérico	BD02A
11	FVEP	Fecha de vencimiento de la cuota	Fecha	BD02A
12	FCAN	Fecha de cancelación de la cuota	Fecha	BD02A
13	SCONK	Saldo capital condonado de la cuota	Numérico	BD02A
14	SCONINT	Saldo del interés condonado	Numérico	BD02A
15	DAKC	Días de atraso	Numérico	BD02A
16	FOCAN	Forma de cancelación de la cuota	Numérico	BD02A
17	SCA	Saldo de capital amortizado en la cuota.	Numérico	BD02A
1	CIS_C	Código interno del Deudor	Alfanumérico	BD02B
2	CCR_C	Número o código de la operación	Alfanumérico	BD02B
3	NCUO_C	Número de Cuota	Numérico	BD02B
4	MON_C	Moneda	Numérico	BD02B
5	MCUO_C	Monto de Capital de la cuota	Numérico	BD02B
6	SIC_C	Monto de Intereses de la cuota	Numérico	BD02B
7	SCOM_C	Comisiones, Portes y otros cobros de la cuota	Numérico	BD02B
8	SEGS_C	Monto de Seguro (desgravamen y todo riesgo)	Numérico	BD02B
