Cod	Tipo	Descripcion	Categoria	Criticidad
101	Error	Se interrumpió el proceso de análisis debido a que existen {0} archivos duplicados en la ruta indicada. Archivos duplicados: {1}.	Archivos	MUY ALTA
102	Error	Se interrumpió el proceso de análisis debido a que faltan {0} archivos según lo indicado en la Coopac. Archivos faltantes: {1}	Archivos	MUY ALTA
201	Error	Se identificaron {0} columna(s) faltante(s) ({1}) correspondiente(s) a la base de datos crediticia {2} durante el periodo {3}.	Columnas	ALTA
202	Error	Se identificaron {0} columna(s) sobrante(s) ({1}) correspondiente(s) a la base de datos crediticia {2} durante el periodo {3}. 	Columnas	ALTA
203	Error	Se identificaron {0} columna(s) totalmente vacía(s) ({1}) correspondiente a la base de datos crediticia {2} en el periodo {3}.	Columnas	ALTA
301	Error	El capital vigente de la cartera correspondiente al mes de {0} no cuadra con el balance de comprobación durante el periodo de {1}. Diferencia: S/{2}	Cruce Contable	ALTA
302	Error	El capital vencido de la cartera correspondiente al mes de {0} no cuadra con el balance de comprobación durante el periodo de {1}. Diferencia: S/{2}	Cruce Contable	ALTA
303	Error	El capital refinanciado de la cartera correspondiente al mes de {0} no cuadra con el balance de comprobación durante el periodo de {1}. Diferencia: S/{2}	Cruce Contable	ALTA
304	Error	El capital cobranza judicial de la cartera correspondiente al mes de {0} no cuadra con el balance de comprobación durante el periodo de {1}. Diferencia: S/{2}	Cruce Contable	ALTA
305	Error	Los intereses devengados de la cartera correspondiente al mes de {0} no cuadra con el balance de comprobación durante el periodo de {1}. Diferencia: S/{2}	Cruce Contable	ALTA
306	Error	Los intereses diferidos de la cartera correspondiente al mes de {0} no cuadra con el balance de comprobación durante el periodo de {1}. Diferencia: S/{2}	Cruce Contable	ALTA
307	Error	Las provisiones genéricas de la cartera correspondiente al mes de {0} no cuadra con el balance de comprobación durante el periodo de {1}. Diferencia: S/{2}	Cruce Contable	ALTA
308	Error	Las provisiones específicas de la cartera correspondiente al mes de {0} no cuadra con el balance de comprobación durante el periodo de {1}. Diferencia: S/{2}	Cruce Contable	ALTA
401	Error	Se detectaron {0} crédito(s) duplicado(s) en la cartera en el mes de {1} con un saldo de colocaciones por S/ {2} durante el periodo {3}.	Oper. Duplicadas	ALTA
402	Error	Se detectaron {0} crédito(s) con cronogramas duplicado(s) en el mes de {1} con un saldo de colocaciones por S/ {2} durante el periodo {3}.	Oper. Duplicadas	ALTA
403	Error	Se detectaron {0} operación(es) de crédito con cronograma(s) cancelado(s) duplicados durante el periodo {1}.	Oper. Duplicadas	ALTA
404	Error	Se detectaron {0} código(s) de garantía duplicado(s) con un monto de cobertura total por S/ {1} durante el periodo {2}.	Oper. Duplicadas	ALTA
405	Error	Se detectaron {0} crédito(s) duplicado(s) cancelado(s) durante el/los periodo(s) {1}.	Oper. Duplicadas	ALTA
501	Error	Se detectaron {0} crédito(s) faltante(s) de acuerdo con los cronogramas reportados durante el periodo {1}.	Cruce Operaciones	ALTA
502	Error	Se detectaron {0} cronograma(s) faltante(s) de acuerdo con la cartera reportada con un saldo de colocaciones por S/ {1} durante el periodo {2}.	Cruce Operaciones	ALTA
503	Error	Se detectaron {0} garantía(s) faltante(s) en el registro correspondiente durante el periodo {1}.	Cruce Operaciones	ALTA
601	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en el Tipo de documento (TID) en la cartera de créditos durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
602	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en el Tipo de crédito (TCR) en la cartera de créditos durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
603	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en la Clasificación del deudor (CAL) en la cartera de créditos durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
604	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en el Esquema de amortización (ESAM) en la BD01 durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
605	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en el Sector del Crédito a financiar (SEC) en la BD01 durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
606	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en la Modalidad del Crédito (MDCR) en la BD01 durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
607	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en el Ocupación del socio deudor declarado (OSD) en la BD01 durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
608	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en la Moneda (MON) de la BD02A durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
609	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en la Forma de cancelación de la cuota (FOCAN) de la BD02A durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
610	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en la Moneda (MON_C) de la BD02B durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
611	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en la Forma de cancelación de la cuota (FOCAN_C) de la BD02B durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
612	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en la Clase de garantía (CGR) de la BD03A durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
613	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en la Cobertura de garantía (COBGR) de la BD03A durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
614	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en la Clase de garantía (CGR) de la BD03B durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
615	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en la Tipo de documento (TID_C) de la BD04 durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
616	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en la Tipo de crédito (TCR_C) de la BD04 durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
617	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en la Moneda (MON_C) de la BD04 durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
618	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en la Clasificación del Deudor a la fecha de cancelación del crédito (CAL_C) de la BD04 durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
619	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en la Esquema de amortización (ESAM_C) de la BD04 durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
620	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en la Forma de Cancelación del crédito (FOCAN_C) de la BD04 durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
621	Error	Se detectaron {0} crédito(s) con dígitos diferentes o vacíos en la Modalidad específica bajo la cual fue otorgado el Crédito(MDCR_C) de la BD04 durante el periodo {1}. Valores correctos: {2}	Campo Numérico	MEDIA
622	Error	Se detectaron {0} crédito(s) con errores en el Número y Tipo de Documento ({1}) respectivamente, correspondiente a la base de datos crediticia {2} durante el periodo {3}.	Campo Numérico	BAJA
701	Error	Se detectaron {0} crédito(s) con fechas vacías o erróneas en la Fecha de primer pago de capital según cronograma original (FPPK) en la BD01 durante el periodo {1}.	Campo Fecha	MEDIA
702	Error	Se detectaron {0} crédito(s) con fechas vacías o erróneas en la Fecha de desembolso (FOT) en la BD01 durante el periodo {1}.	Campo Fecha	MEDIA
703	Error	Se detectaron {0} crédito(s) con fechas vacías o erróneas en la Fecha de vencimiento general de la operación según cronograma (FVEG) en la BD01 durante el periodo {1}.	Campo Fecha	MEDIA
704	Error	Se detectaron {0} crédito(s) con fechas vacías o erróneas en la Fecha de vencimiento puntual de la operación (FVEP) en la BD01 durante el periodo {1}.	Campo Fecha	MEDIA
705	Error	Se detectaron {0} crédito(s) con fechas vacías o erróneas en la Fecha de vencimiento de la cuota (FVEP) en la BD02A durante el periodo {1}.	Campo Fecha	MEDIA
706	Error	Se detectaron {0} crédito(s) con fechas vacías o erróneas en la Fecha de Vencimiento de la Cuota (FVEP_C) en la BD02B durante el periodo {1}.	Campo Fecha	MEDIA
707	Error	Se detectaron {0} crédito(s) con fechas vacías o erróneas en la Fecha de Desembolso (FOT_C) en la BD04 durante el periodo {1}.	Campo Fecha	MEDIA
708	Error	Se detectaron {0} crédito(s) con fechas vacías o erróneas en la Fecha de cancelación de la operación (FCAN_C) en la BD04 durante el periodo {1}.	Campo Fecha	MEDIA
709	Error	Se detectaron {0} crédito(s) con fecha de desembolso posterior a la fecha de corte en la cartera de créditos (BD01) durante el periodo {1}.	Campo Fecha	MEDIA
