Cod	Tipo	Descripcion	Criticidad
1000	Alerta	"Se identificaron {0} crédito(s) con un monto original (MORG) mayor a USD 50,000 o equivalente en soles, correspondiente al periodo {1}."	Baja
1001	Alerta	"Se identificaron {0} crédito(s) con un monto original mayor (MORG) a USD 100,000 o equivalente en soles, para los sectores de alto riesgo (SEC: 3,6,8,9,10), correspondiente al periodo {1}."	Baja
1002	Alerta	"Se identificaron {0} crédito(s) con un monto original mayor (MORG) a USD 500,000 o equivalente en soles, realizados por deudores con ocupaciones de alto riesgo (OSD: 1,2,5,9), correspondiente al periodo {1}."	Baja
1003	Alerta	"Se identificaron {0} cronograma(s) de la cartera de créditos con un importe mayor a USD 100,000 o equivalente en soles realizados por deudores con ocupaciones de alto riesgo (OSD: 1,2,5,9), correspondiente al periodo {1}."	Baja
1004	Alerta	"Se identificaron {0} cronograma(s) de crédito(s) cancelado(s) con un importe mayor a USD 100,000 o equivalente en soles realizados por deudores con ocupaciones de alto riesgo (OSD: 1,2,5,9), correspondiente al periodo {1}."	Baja
1005	Alerta	"Se identificaron {0} crédito(s) cancelado(s) con fondos en efectivo superiores a los USD 100,000 o equivalente en soles, correspondiente al periodo {1}."	Baja
1006	Alerta	"Se identificaron {0} crédito(s) cancelado(s) con fondos en efectivo superiores a los USD 1 MM o equivalente en soles, que se hayan producido antes de los 30 días de haber sido desembolsados, correspondiente al periodo {1}."	Baja
1007	Alerta	"Se identificaron {0} crédito(s) cancelado(s)  con un importe mayor a USD 1 MM o equivalente en soles realizados por deudores con ocupaciones de alto riesgo (OSD: 1,2,5,9), correspondiente al periodo {1}."	Baja
2000	Alerta	"Se identificaron {0} crédito(s) con TEA menor al 1.00 % por un saldo de colocaciones de {1}, en el periodo de {2}."	Alta
2001	Alerta	"Se identificaron {0} crédito(s) con días de gracia mayor a 90 días en la cartera de créditos con un saldo de colocaciones de S/. {1}, correspondiente al periodo {2}."	Alta
2002	Alerta	Se identificaron {0} crédito(s) con el monto original de crédito menor al saldo pendiente de pago en la cartera de créditos correspondiente al periodo {1}. 	Alta
2003	Alerta	"Se identificaron {0} crédito(s) en situación contable refinanciada, judicial y con clasificación dudoso o pérdida, que están reportando rendimientos devengados por un saldo de {1}, correspondiente al periodo {2}."	Alta
2004	Alerta	Se identificaron {0} deudor(es) con más de una calificación correspondiente al periodo {1}.	Alta
2005	Alerta	"Se identificaron {0} crédito(s) con días de atraso reales al cierre de la última cuota pagada negativos, con un saldo de colocaciones de S/. {1}, correspondiente al periodo {2}."	Alta
2006	Alerta	"Se identificaron {0} crédito(s) con un esquema de amortización en cuotas que reporta un número cuotas pactadas igual a 1, con un saldo de colocaciones de S/. {1}, correspondiente al periodo {2}."	Alta
2007	Alerta	"Se identificaron {0} deudor(es) con calificación dudosa o pérdida que generan intereses devengados por un saldo de {1}, con un saldo de colocaciones de S/. {1}, correspondiente al periodo {2}."	Alta
2008	Alerta	"Se identificaron {0} crédito(s) en situación contable refinanciado, judicial y vencidos, que reportan intereses devengados, con un saldo de colocaciones de S/. {1}, correspondiente al periodo {2}."	Alta
2009	Alerta	"Se identificaron {0} deudor(es) no minoristas con calificación normal en situación contable vencido, con un saldo de colocaciones de S/. {1}, correspondiente al periodo {2}."	Alta
2010	Alerta	"Se identificaron {0} crédito(s) con calificación dudoso o pérdida en situación contable vigente con un saldo de colocaciones S/ {1}, correspondiente al periodo {2}."	Alta
2011	Alerta	"Se identificaron {0} crédito(s) con días de atraso al cierre mayor a 120 días que no están en situación contable judicial con un saldo de colocaciones de S/ {1}, correspondiente al periodo {2}."	Alta
2012	Alerta	"Se identificaron {0} crédito(s) en situación contable judicial que tienen una calificación normal, CPP o deficiente con un saldo de colocaciones S/ {1}, correspondiente al periodo {2}."	Alta
2013	Alerta	"Se identificaron {0} crédito(s) con un esquema de amortización unicuota, que presentan fecha de cancelación pactada más de un año con un saldo de colocaciones S/ {1}, correspondiente al periodo {2}."	Alta
